Título	Autor	Editora	Ano	ISBN	Idioma	Capa	Páginas	Altura (cm)	Largura (cm)	Peso (g)	Estante	Preço R$	Frete R$	Total R$	Fotos
A Dinastia Nomura	Al Alletzhauser	Best Seller	1990	9788571231832	Português	Mole	356	21	14	439	Negócios	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Dinastia Nomura, de Al Alletzhauser
A Divina Comédia - Inferno	Dante Alighieri	Abril	2010	9788579710063	Português	Dura	432	21	13	421	Literatura Estrangeira	30	12.20	42.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Divina Comédia - Inferno, de Dante Alighieri
A Divina Garbo	Frederick Sands; Sven Broman	Nórdica	1979	9788570071897	Português	Mole	200	21	14	302	Biografias	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Divina Garbo, de Frederick Sands; Sven Broman
A Educação Pela Espada	Antonio Sampaio Dória	Ysayama	ND	ND	Português	Mole	312	21	14	380	Literatura Brasileira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Educação Pela Espada, de Antonio Sampaio Dória
A Empresa Na Velocidade Do Pensamento	Bill Gates	Companhia das Letras	1999	9788571648708	Português	Mole	444	23	16	796	Negócios	10	16.65	26.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Empresa Na Velocidade Do Pensamento, de Bill Gates
A Entrevista Jornalística	Hugh C. Sherwood	Mosaico	1981	ND	Português	Mole	124	21	14	176	Jornalismo	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Entrevista Jornalística, de Hugh C. Sherwood
A Era Da Mulher	Avivah Wittenberg-cox; Alison Maitland	Campus	2009	9788535232646	Português	Mole	216	23	16	358	Sociologia	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Era Da Mulher, de Avivah Wittenberg-cox; Alison Maitland
A Era Da Turbulência: Aventuras Em Um Novo Mundo	Alan Greenspan	Elsevier	2008	9788535221992	Português	Mole	520	23	16	851	Negócios	10	18.10	28.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A Era Da Turbulência: Aventuras Em Um Novo Mundo, de Alan Greenspan
A Escola Do Moço No Portão	Sandra Sahd; Lucas Sahd; Luan Vieira	Loyola	2012	9788515038954	Português	Mole	24	21	19	114	Infantil	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do A Escola Do Moço No Portão, de Sandra Sahd; Lucas Sahd; Luan Vieira
A Escrava Isaura	Bernardo Guimarães	LDA	1988	ND	Português	Mole	96	18	13	89	Literatura Brasileira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A Escrava Isaura, de Bernardo Guimarães
A Evolução Do Zé Batalha: Teatro Rural Brasileiro	Alberico Rodrigues	Mentes Raras	2008	9788598581057	Português	Mole	26	21	16	83	Teatro	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A Evolução Do Zé Batalha: Teatro Rural Brasileiro, de Alberico Rodrigues
A Filha Do Silêncio	Morris West	Civilização Brasileira	1970	ND	Português	Mole	244	21	14	331	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Filha Do Silêncio, de Morris West
A Filosofia Explicada À Minha Filha	Roger-pol Droit	Martins Fontes	2005	9788533621886	Português	Mole	102	17	11	131	Filosofia	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do A Filosofia Explicada À Minha Filha, de Roger-pol Droit
A Governadora	Erin Pizzey	Record	1987	ND	Português	Mole	412	21	14	420	Literatura Estrangeira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Governadora, de Erin Pizzey
A Grande Esperança	Ellen G. White	CPB	2011	9788534514088	Português	Mole	106	21	14	130	Religião	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do A Grande Esperança, de Ellen G. White
A Guerra Das Rosas	Shannon Drake	Nova Cultural	1994	9771516300007	Português	Mole	314	18	12	208	Literatura Estrangeira	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Guerra Das Rosas, de Shannon Drake
A Herança E A Ruptura	Reinaldo Goncalves	Garamond	2003	9788586435898	Português	Mole	176	21	14	240	História	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Herança E A Ruptura, de Reinaldo Goncalves
A História É Amarela	Veja	Abril	2017	9788569522386	Português	Mole	332	21	14	467	História	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do A História É Amarela, de Veja
A Hologram For The King	Dave Eggers	Vintage	2013	9780307947512	Inglês	Mole	356	20	13	300	Literatura Estrangeira	40	10.00	50.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A Hologram For The King, de Dave Eggers
A Ilha Tipográfica	Leopoldo Leal; Ana Cristina Puttini	Olhares	2008	9788460492030	Português	Dura	48	23	17	260	Infantil	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A Ilha Tipográfica, de Leopoldo Leal; Ana Cristina Puttini
A Ilustre Casa De Ramires	Eça de Queirós	Formar	1973	ND	Português	Dura	208	22	15	428	Literatura Brasileira	10	12.20	22.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Ilustre Casa De Ramires, de Eça de Queirós
A Imortalidade	Milan Kundera	Nova Fronteira	1990	9788520902295	Português	Mole	340	21	14	418	Literatura Estrangeira	15	12.20	27.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Imortalidade, de Milan Kundera
A Internet Tomou Conta Do Planeta Terra...	Manoel Ianzer	Scortecci	2012	9788536625737	Português	Mole	94	21	14	150	Poesia	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do A Internet Tomou Conta Do Planeta Terra..., de Manoel Ianzer
A Interpretação Dos Sonhos – Vol. 1	Sigmund, Freud	Círculo do Livro	1991	ND	Português	Dura	348	21	13	452	Psicologia	30	12.95	42.95	https://wa.me/5511981350566?text=Oi! Quero fotos do A Interpretação Dos Sonhos – Vol. 1, de Sigmund, Freud
A Lenda Do Menino Lambari	Nicolas Behr	Do Autor	ND	ND	Português	Mole	132	21	15	224	Infantil	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Lenda Do Menino Lambari, de Nicolas Behr
A Luz Através Da Janela	Lucinda Riley	Novo Conceito	2012	9788581631141	Português	Mole	544	23	16	759	Literatura Estrangeira	20	16.65	36.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Luz Através Da Janela, de Lucinda Riley
A Manhã De Um Senhor	Leão Tolstoi	LDA	1988	ND	Português	Mole	96	18	13	89	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A Manhã De Um Senhor, de Leão Tolstoi
À Margem Do Lago	Sara Gruen	Bertrand Brasil	2016	9788528620504	Português	Mole	390	23	16	550	Literatura Estrangeira	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do À Margem Do Lago, de Sara Gruen
A Melhor Comida Para Bebês Do Planeta	Karin Knight Tina Ruggiero	Memória Visual	2012	9788589617451	Português	Mole	240	23	19	705	Gastronomia	15	16.00	31.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A Melhor Comida Para Bebês Do Planeta, de Karin Knight Tina Ruggiero
A Menina Cláudia E O Rinoceronte	Ferreira Gullar	José Olympio	2013	9788503011365	Português	Dura	48	20	26	278	Infantil	30	10.00	40.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A Menina Cláudia E O Rinoceronte, de Ferreira Gullar
A Menina Do Vale	Bel Pesce	Casa da Palavra	2012	9788577342808	Português	Mole	158	21	14	231	Negócios	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Menina Do Vale, de Bel Pesce
A Menina Que Brincava Com Fogo	Stieg Larsson	Companhia das Letras	2012	9788535916270	Português	Mole	608	23	16	916	Literatura Estrangeira	10	18.70	28.70	https://wa.me/5511981350566?text=Oi! Quero fotos do A Menina Que Brincava Com Fogo, de Stieg Larsson
A Metamorfose	Franz Kafka	LDA	1988	ND	Português	Mole	96	18	13	91	Literatura Estrangeira	10	7.10	17.10	https://wa.me/5511981350566?text=Oi! Quero fotos do A Metamorfose, de Franz Kafka
A Mina De Ouro E Outras Histórias	Agatha Christie	L&PM	2020	9788525434623	Português	Mole	304	18	11	252	Literatura Estrangeira	20	10.00	30.00	https://wa.me/5511981350566?text=Oi! Quero fotos do A Mina De Ouro E Outras Histórias, de Agatha Christie
A Moreninha; A Luneta Mágica	Joaquim Manuel de Macedo	Tres	1972	ND	Português	Dura	312	21	14	522	Literatura Brasileira	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do A Moreninha; A Luneta Mágica, de Joaquim Manuel de Macedo
A Morte De D.J. Em Paris	Roberto Drummond	Ática	1977	ND	Português	Mole	98	21	14	162	Literatura Brasileira	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Morte De D.J. Em Paris, de Roberto Drummond
A Mulher Da Guarda	Sara Bertrand; Alejandra Acosta	Solisluna	2019	9788553300112	Português	Dura	96	21	18	364	Infantil	30	11.45	41.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Mulher Da Guarda, de Sara Bertrand; Alejandra Acosta
A Mulher E A Osteoporose: Como Prevenir E Controlar	Dr. Reginaldo J. M. Rena	IATRIA	2003	9788576140115	Português	Mole	126	21	14	180	Saúde	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Mulher E A Osteoporose: Como Prevenir E Controlar, de Dr. Reginaldo J. M. Rena
A Mulher Imaginária	Jorge Edwards	Rocco	1988	ND	Português	Mole	312	21	14	373	Literatura Brasileira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Mulher Imaginária, de Jorge Edwards
A Mulher Na Sociedade	Barbara Virginia	Paulinas	1972	ND	Português	Mole	150	20	12	180	Sociologia	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Mulher Na Sociedade, de Barbara Virginia
A Música Compõe O Homem, O Homem Compõe A Música	Gregório J. Pereira de Queiroz	Cultrix	2001	9788531606861	Português	Mole	184	23	16	311	Pedagogia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Música Compõe O Homem, O Homem Compõe A Música, de Gregório J. Pereira de Queiroz
A Organização Que Decide	Marcia W. Blenko; Outros	Campus	2007	9788535239935	Português	Mole	198	23	16	317	Negócios	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Organização Que Decide, de Marcia W. Blenko; Outros
A Palavra É... Interior	Machado de Assis; Outros	Scipione	1991	9788526217379	Português	Mole	120	21	14	160	Contos	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Palavra É... Interior, de Machado de Assis; Outros
A Ponte Para O Sempre	Richard Bach	Record	1984	ND	Português	Mole	320	21	14	357	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Ponte Para O Sempre, de Richard Bach
A Pousada Rose Harbor	Debbie Macomber	Novo Conceito	2013	9788581631530	Português	Mole	350	23	16	520	Literatura Estrangeira	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do A Pousada Rose Harbor, de Debbie Macomber
A Rainha Do Castelo De Ar	Stieg Larsson	Companhia das Letras	2011	9788535916287	Português	Mole	686	23	16	1049	Literatura Estrangeira	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Rainha Do Castelo De Ar, de Stieg Larsson
A Rainha Do Castelo De Ar	Stieg Larsson	Companhia das Letras	2009	9788535915839	Português	Mole	688	23	16	1049	Literatura Estrangeira	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Rainha Do Castelo De Ar, de Stieg Larsson
A Revolução Dos Campeões	Roberto Shinyashiki	Gente	2009	9788573120257	Português	Mole	160	21	14	220	Autoajuda	10	9.20	19.20	https://wa.me/5511981350566?text=Oi! Quero fotos do A Revolução Dos Campeões, de Roberto Shinyashiki
A Saga De Um Baiano Na Cidade De São Paulo	Alberico Rodrigues	Mentes Raras	2010	9788598581026	Português	Mole	260	21	16	390	Literatura Brasileira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Saga De Um Baiano Na Cidade De São Paulo, de Alberico Rodrigues
A Salamandra	Morris West	Círculo do Livro	1974	ND	Português	Dura	406	20	13	503	Literatura Estrangeira	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do A Salamandra, de Morris West
A Serpente Emplumada	D. H. Lawrence	Círculo do Livro	1981	ND	Português	Dura	458	21	13	554	Literatura Estrangeira	10	14.25	24.25	https://wa.me/5511981350566?text=Oi! Quero fotos do A Serpente Emplumada, de D. H. Lawrence
A Terceira Porta	Gwen Davis	Clube do Livro	1984	ND	Português	Mole	126	21	14	174	Literatura Estrangeira	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Terceira Porta, de Gwen Davis
A Torre De Babel	Morris West	Record	1968	ND	Português	Mole	294	21	14	315	Literatura Estrangeira	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Torre De Babel, de Morris West
A Travessia	William P. Young	Arqueiro	2012	9788580411089	Português	Mole	240	23	16	363	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Travessia, de William P. Young
A Trilogia Tebana	Sófocles	Zahar	1998	9788571100817	Português	Mole	254	21	14	333	Teatro	40	10.65	50.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Trilogia Tebana, de Sófocles
A Última Chance	Adriana de Souza L. Eugenio; Espírito Duílio	Aliança	2016	9788583640424	Português	Mole	224	23	16	330	Romance Espírita	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Última Chance, de Adriana de Souza L. Eugenio; Espírito Duílio
A Última Fugitiva	Tracy Chevalier	Bertrand Brasil	2015	9788528620436	Português	Mole	320	21	14	363	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Última Fugitiva, de Tracy Chevalier
A Última Grande Lição	Mitch Albom	Sextante	1998	9788586796074	Português	Mole	192	21	14	302	Autoajuda	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Última Grande Lição, de Mitch Albom
A Única Esperança	Alejandro Bullón	CPB	2013	9788534519533	Português	Mole	110	21	14	140	Religião	10	7.80	17.80	https://wa.me/5511981350566?text=Oi! Quero fotos do A Única Esperança, de Alejandro Bullón
A Vida E O Amor: Jovens	Bernadette Delarge	Rideel	ND	ND	Português	Dura	150	21	14	303	Psicologia	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Vida E O Amor: Jovens, de Bernadette Delarge
A Vida É Um Palco	Shirley Maclaine	Record	1988	9788510319140	Português	Mole	306	20	14	352	Biografias	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Vida É Um Palco, de Shirley Maclaine
A Vida No Planeta Marte	Ramatís, Hercilio Maes	Freitas Bastos	ND	ND	Português	Mole	350	23	16	470	Religião	30	12.95	42.95	https://wa.me/5511981350566?text=Oi! Quero fotos do A Vida No Planeta Marte, de Ramatís, Hercilio Maes
A Vingança Do Judeu	J. W. Rochester	FEB	1991	ND	Português	Mole	454	18	13	366	Literatura Estrangeira	10	11.45	21.45	https://wa.me/5511981350566?text=Oi! Quero fotos do A Vingança Do Judeu, de J. W. Rochester
A Volta Ao Mundo Do Casseta E Planeta - Vol. 5	Casseta e Planeta	Objetiva	ND	ND	Português	Mole	128	21	14	186	Humor	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do A Volta Ao Mundo Do Casseta E Planeta - Vol. 5, de Casseta e Planeta
A Volta Ao Mundo Em Oitenta Dias	Julio Verne	Novo Brasil	1983	ND	Português	Dura	278	21	13	493	Literatura Estrangeira	10	12.95	22.95	https://wa.me/5511981350566?text=Oi! Quero fotos do A Volta Ao Mundo Em Oitenta Dias, de Julio Verne
A Voz Do Silêncio A Navegar Na Memória	Eunice Ferreira Barbanti	Biografias e Professias	2018	9788565004244	Português	Mole	96	21	15	323	Biografias	10	10.65	20.65	https://wa.me/5511981350566?text=Oi! Quero fotos do A Voz Do Silêncio A Navegar Na Memória, de Eunice Ferreira Barbanti
Abandonado	Vinícius Pinheiro	Geração Editorial	2015	9788581300986	Português	Mole	186	23	16	290	Literatura Brasileira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Abandonado, de Vinícius Pinheiro
Ação Executiva: Assassinato De Um Chefe De Estado	Donald Freed; Mark Lane	Bloch	1973	ND	Português	Mole	198	21	14	272	Literatura Estrangeira	10	10.00	20.00	https://wa.me/5511981350566?text=Oi! Quero fotos do Ação Executiva: Assassinato De Um Chefe De Estado, de Donald Freed; Mark Lane
Accountable Marketing	Peter J. Rosenwald	Thomson	2005	9788522104659	Português	Mole	360	23	16	518	Negócios	10	13.50	23.50	https://wa.me/5511981350566?text=Oi! Quero fotos do Accountable Marketing, de Peter J. Rosenwald
Acervo Masterpieces	Banco Chase Manhattan	Index	1989	9788570830289	Português	Dura	122	29	29	1129	Artes	10	25.45	35.45	https://wa.me/5511981350566?text=Oi! Quero fotos do Acervo Masterpieces, de Banco Chase Manhattan
Acordes Do Coração	Eugenia, Maria	Sirius	ND	ND	Português	Mole	128	19	14	171	Autoajuda	10	8.55	18.55	https://wa.me/5511981350566?text=Oi! Quero fotos do Acordes Do Coração, de Eugenia, Maria
